"time","Wheel_Fz"
0.000000,3943.046090
0.005000,3939.918050
0.010000,3954.792050
0.015000,3985.833160
0.020000,3985.638030
0.025000,3982.055080
0.030000,3991.691700
0.035000,4023.852400
0.040000,4041.485900
0.045000,3998.337630
0.050000,3903.567500
0.055000,3827.608170
0.060000,3821.966360
0.065000,3851.447000
0.070000,3867.968210
0.075000,3885.688280
0.080000,3889.177550
0.085000,3898.489110
0.090000,3911.983270
0.095000,3918.333110
0.100000,3928.923320
0.105000,3941.550720
0.110000,3938.516650
0.115000,3920.673620
0.120000,3893.981340
0.125000,3889.769920
0.130000,3913.940950
0.135000,3937.288640
0.140000,3949.540370
0.145000,3935.901650
0.150000,3932.715860
0.155000,3943.696230
0.160000,3963.662960
0.165000,3986.172700
0.170000,3992.731900
0.175000,3984.077730
0.180000,3968.315250
0.185000,3952.827160
0.190000,3938.978980
0.195000,3923.635490
0.200000,3910.935820
0.205000,3884.452960
0.210000,3858.685390
0.215000,3858.902080
0.220000,3884.872050
0.225000,3927.550860
0.230000,3977.222300
0.235000,4002.289140
0.240000,4007.945480
0.245000,4013.970160
0.250000,4025.037100
0.255000,4046.333160
0.260000,4080.812840
0.265000,4099.804460
0.270000,4104.008840
0.275000,4106.342080
0.280000,4120.053040
0.285000,4141.284080
0.290000,4167.073320
0.295000,4179.996800
0.300000,4194.184580
0.305000,4194.878080
0.310000,4192.689180
0.315000,4195.253740
0.320000,4199.421840
0.325000,4207.548760
0.330000,4215.249460
0.335000,4220.038860
0.340000,4222.747860
0.345000,4220.277280
0.350000,4229.184340
0.355000,4236.567240
0.360000,4226.930460
0.365000,4214.996620
0.370000,4214.303140
0.375000,4251.506260
0.380000,4283.284020
0.385000,4289.626680
0.390000,4282.438820
0.395000,4262.219240
0.400000,4272.094220
0.405000,4274.246940
0.410000,4277.288300
0.415000,4270.584420
0.420000,4256.584620
0.425000,4249.772460
0.430000,4224.835540
0.435000,4194.878040
0.440000,4165.606920
0.445000,4137.123120
0.450000,4127.652620
0.455000,4107.302820
0.460000,4083.998600
0.465000,4056.482700
0.470000,4013.861820
0.475000,3981.766130
0.480000,3964.197630
0.485000,3947.365980
0.490000,3919.431200
0.495000,3893.027800
0.500000,3889.228120
0.505000,3882.134140
0.510000,3868.141590
0.515000,3844.150950
0.520000,3830.996200
0.525000,3853.541950
0.530000,3890.196070
0.535000,3915.313580
0.540000,3938.632260
0.545000,3931.885090
0.550000,3910.068980
0.555000,3879.627480
0.560000,3865.750390
0.565000,3871.731730
0.570000,3887.559390
0.575000,3896.849220
0.580000,3885.955610
0.585000,3881.642970
0.590000,3889.545970
0.595000,3901.328100
0.600000,3910.394100
0.605000,3911.311540
0.610000,3901.291980
0.615000,3895.108300
0.620000,3887.183680
0.625000,3898.980270
0.630000,3932.477490
0.635000,3961.727050
0.640000,3974.101590
0.645000,4007.743140
0.650000,4029.624300
0.655000,4066.473460
0.660000,4073.487820
0.665000,4076.875820
0.670000,4079.368040
0.675000,4068.525040
0.680000,4065.736560
0.685000,4067.210240
0.690000,4081.412400
0.695000,4101.754960
0.700000,4101.032540
0.705000,4094.957220
0.710000,4086.021320
0.715000,4097.427860
0.720000,4114.115000
0.725000,4131.661880
0.730000,4137.260360
0.735000,4136.667980
0.740000,4145.820600
0.745000,4164.479880
0.750000,4201.119540
0.755000,4246.673400
0.760000,4282.279920
0.765000,4277.757780
0.770000,4239.290640
0.775000,4187.502500
0.780000,4150.848460
0.785000,4135.432720
0.790000,4139.152940
0.795000,4138.943440
0.800000,4120.248080
0.805000,4084.785960
0.810000,4059.885200
0.815000,4065.577760
0.820000,4085.053260
0.825000,4090.088400
0.830000,4159.957820
0.835000,4553.024140
0.840000,4963.362860
0.845000,5148.626760
0.850000,5352.607740
0.855000,5049.695480
0.860000,4686.406100
0.865000,4097.015960
0.870000,3175.832680
0.875000,2936.758010
0.880000,3229.036640
0.885000,3150.563560
0.890000,3621.900760
0.895000,3717.805090
0.900000,3829.016910
0.905000,4115.436960
0.910000,4239.037640
0.915000,4499.018280
0.920000,4607.412900
0.925000,4615.337420
0.930000,4267.536020
0.935000,3359.789050
0.940000,2183.551840
0.945000,2370.860110
0.950000,2698.839190
0.955000,2178.950230
0.960000,2627.864480
0.965000,2205.122380
0.970000,2981.871210
0.975000,4966.490660
0.980000,5481.886420
0.985000,6431.943800
0.990000,6082.408540
0.995000,5648.043260
1.000000,5379.335940
1.005000,4385.473180
1.010000,4239.839640
1.015000,3427.498610
1.020000,3244.156230
1.025000,3124.940370
1.030000,3009.538770
1.035000,3012.803960
1.040000,2985.410960
1.045000,3245.442110
1.050000,3658.822030
1.055000,4017.076460
1.060000,4360.781940
